molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL84518,O=c1c(C(c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,3700.0
CHEMBL84518,O=c1c(C(c2cc(OCc3ccccc3)cc(OCc3ccccc3)c2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,inactive,10000.0
CHEMBL312727,O=c1c(Cc2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,46300.0
CHEMBL312727,O=c1c(Cc2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,44900.0
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,94000.0
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,84000.0
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,49000.0
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,70000.0
CHEMBL84340,O=c1c(C(c2ccccn2)c2c(O)oc3cc(O)ccc3c2=O)c(O)oc2cc(O)ccc12,inactive,81000.0
CHEMBL49350,O=C(NCCc1ccccc1)c1cc2ccc(O)c(O)c2cn1,inactive,40000.0
CHEMBL293914,O=c1c(C(c2ccc(C(c3c(O)oc4ccccc4c3=O)c3c(O)oc4ccccc4c3=O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,1500.0
CHEMBL293914,O=c1c(C(c2ccc(C(c3c(O)oc4ccccc4c3=O)c3c(O)oc4ccccc4c3=O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,active,800.0
CHEMBL293914,O=c1c(C(c2ccc(C(c3c(O)oc4ccccc4c3=O)c3c(O)oc4ccccc4c3=O)cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,intermediate,2000.0
CHEMBL131680,COc1ccc(/C=C/C(=O)OCCc2ccccc2)cc1O,inactive,60000.0
